Model,Vehicle Type,Variant Details,Fast Charge Time (Minutes),Range (km),Energy Consumption (kWh/100km),ANCAP Safety Rating,Listed Price ($AUD)
Audi e-tron,Large SUV,Audi e-tron 55 Auto quattro,"85 mins (5%-80% charge, 50kW charger)",459,23.2,[object Object],79800
Audi e-tron GT,Large Car,2024 Audi e-tron GT Auto e-quattro MY24,"23 mins (5%-80% charge, 270kW charger)",540,19.2,[object Object],181784
BMW 5 Series BEV,Large Car,2024 BMW i5 eDrive40 M Sport G60 Auto,"30 mins (10%-80% charge, 205kW charger)",550,16.5,[object Object],155900
BMW i4,Medium Car,2024 BMW i4 eDrive35 M Sport G26 Auto,"31 mins (10%-80% charge, 205kW charger)",430,17.4,[object Object],85900
BMW i7,Large Car,2024 BMW i7 xDrive60 M Sport G70 Auto AWD,"34 mins (10%-80% charge, 195kW charger)",625,22.2,[object Object],306900
BMW iX,Large SUV,2024 BMW iX xDrive40 Sport I20 Auto AWD,"31 mins (10%-80% charge, 150kW charger)",420,22.5,[object Object],136900
BMW iX1,Small SUV,2024 BMW iX1 eDrive20 xLine U11 Auto,"29 mins (10%-80% charge, 130kW charger)",464,15.7,[object Object],94171
BMW iX2,Small SUV,2024 BMW iX2 eDrive20 M Sport U10 Auto,"29 mins (10%-80% charge, 130kW charger)",427,17.1,[object Object],82900
BMW iX3,Medium SUV,2024 BMW iX3 M Sport G08 Auto,"450 mins (0%-100% charge, 11kW charger)",440,21.6,[object Object],89100
BYD Atto 3,Medium SUV,2024 BYD ATTO 3 Standard Auto,"29 mins (10%-80% charge, 150kW charger)",345,16,[object Object],44499
BYD Dolphin,Small Car,2024 BYD Dolphin Dynamic Auto,"38 mins (10%-80% charge, 80kW charger)",410,21.6,[object Object],36890
BYD Seal,Medium Car,2024 BYD Seal Dynamic Auto,"26 mins (10%-80% charge, 150kW charger)",510,13.8,[object Object],49888
CUPRA Born,Small Car,2024 CUPRA Born Auto MY24,"26 mins (10%-80% charge, 170kW charger)",511,17,[object Object],59990
Fiat 500e,Small Car,2023 Fiat 500e La Prima Auto MY23,"35 mins (0%-80% charge, 85kW charger)",311,14.4,[object Object],52500
Ford Mustang Mach-E,Large SUV,2023 Ford Mustang Mach-E Select Auto MY23.75,"38 mins (10%-80% charge, 150kW charger)",470,17.8,[object Object],64990
GWM Ora,Small Car,2024 GWM Ora Standard Range Auto,"41 mins (10%-80% charge, 80kW charger)",310,16.7,[object Object],35990
Genesis G80 BEV,Large Car,2023 Genesis G80 Auto AWD MY23,"22 mins (10%-80% charge, 350kW charger)",520,19.1,[object Object],132500
Genesis GV60,Small SUV,2024 Genesis GV60 AWD Auto AWD MY24,"18 mins (10%-80% charge, 350kW charger)",470,18.8,[object Object],103384
Genesis GV70 BEV,Medium SUV,2023 Genesis GV70 Perfomance Auto AWD MY23,"18 mins (10%-80% charge, 350kW charger)",445,19.9,[object Object],125858
Hyundai Ioniq 5,Medium SUV,2024 Hyundai IONIQ 5 Auto 2WD MY25,"18 mins (10%-80% charge, 800V charger)",451,17.9,[object Object],67500
Hyundai Ioniq 6,Medium Car,2024 Hyundai IONIQ 6 Auto 2WD MY24,"18 mins (10%-80% charge, 800V charger)",614,14.3,[object Object],66500
Hyundai Kona BEV,Small SUV,2024 Hyundai Kona Electric Elite Auto 2WD MY25,"47 mins (10%-80% charge, 100kW charger)",513,14.6,[object Object],54000
Jaguar I-Pace,Large SUV,2024 Jaguar I-PACE EV400 R-Dynamic SE Auto AWD MY24.5,"765 mins (full charge, 7kW charger)",446,23,[object Object],147475
Kia EV5,Medium SUV,Coming Soon,,400,18.2,[object Object],70000
Kia EV6,Large SUV,2024 Kia EV6 Air Auto MY24,"18 mins (10%-80% charge, 800V charger)",528,16.5,[object Object],72590
Kia EV9,Large SUV,2024 Kia EV9 Air Auto MY24,"20 mins (10%-80% charge, 350kW charger)",443,19.5,[object Object],97000
Kia Niro BEV,Small SUV,2024 Kia Niro EV S Auto 2WD MY25,"45 mins (10%-80% charge, 100kW charger)",460,16.2,[object Object],66590
LDV Mifa9,People Mover,2024 LDV MIFA 9 Mode Auto MY23,"36 mins (30%-80% charge, 120kW charger)",430,20.9,[object Object],104000
LDV eDeliver7,Van,2023 LDV eDeliver 7 SWB Auto,43 mins (20%-80% charge),362,16.2,[object Object],63147
